anio,trimestre,indicador,regimen,corte,categoria_origen,categoria_destino,valor,ee,n_obs
2005,2,SUBUTIL,tradicional,edad,30 a 39,NA,14.83,0.292,45598
2005,3,SUBUTIL,tradicional,edad,30 a 39,NA,14.56,0.302,45972
2005,4,SUBUTIL,tradicional,edad,30 a 39,NA,13.39,0.266,46688
2006,1,SUBUTIL,tradicional,edad,30 a 39,NA,13.42,0.278,47171
2006,2,SUBUTIL,tradicional,edad,30 a 39,NA,13.08,0.263,46903
2006,3,SUBUTIL,tradicional,edad,30 a 39,NA,16.23,0.312,46788
2006,4,SUBUTIL,tradicional,edad,30 a 39,NA,14.73,0.295,46709
2007,1,SUBUTIL,tradicional,edad,30 a 39,NA,15.51,0.303,47108
2007,2,SUBUTIL,tradicional,edad,30 a 39,NA,14.81,0.29,47124
2007,3,SUBUTIL,tradicional,edad,30 a 39,NA,14.75,0.289,46190
2007,4,SUBUTIL,tradicional,edad,30 a 39,NA,14.21,0.281,45546
2008,1,SUBUTIL,tradicional,edad,30 a 39,NA,14.72,0.296,45971
2008,2,SUBUTIL,tradicional,edad,30 a 39,NA,14.41,0.297,46125
2008,3,SUBUTIL,tradicional,edad,30 a 39,NA,15.44,0.281,45200
2008,4,SUBUTIL,tradicional,edad,30 a 39,NA,15.13,0.292,45096
2009,1,SUBUTIL,tradicional,edad,30 a 39,NA,17.27,0.304,44895
2009,2,SUBUTIL,tradicional,edad,30 a 39,NA,20.54,0.345,44970
2009,3,SUBUTIL,tradicional,edad,30 a 39,NA,18.35,0.314,44410
2009,4,SUBUTIL,tradicional,edad,30 a 39,NA,18.57,0.315,44441
2010,1,SUBUTIL,tradicional,edad,30 a 39,NA,19.36,0.344,44554
2010,2,SUBUTIL,tradicional,edad,30 a 39,NA,18.24,0.315,45252
2010,3,SUBUTIL,tradicional,edad,30 a 39,NA,18.21,0.327,44604
2010,4,SUBUTIL,tradicional,edad,30 a 39,NA,17.9,0.325,44013
2011,1,SUBUTIL,tradicional,edad,30 a 39,NA,18.1,0.316,43947
