anio,trimestre,indicador,tipo,valor
2021,1,TD,desestacionalizada,4.49
2021,2,TD,desestacionalizada,4.26
2021,3,TD,desestacionalizada,3.96
2021,4,TD,desestacionalizada,3.75
2022,1,TD,desestacionalizada,3.59
2022,2,TD,desestacionalizada,3.28
2022,3,TD,desestacionalizada,3.18
2022,4,TD,desestacionalizada,3.05
2023,1,TD,desestacionalizada,2.8
2023,2,TD,desestacionalizada,2.85
2023,3,TD,desestacionalizada,2.75
2023,4,TD,desestacionalizada,2.75
2024,1,TD,desestacionalizada,2.7
2024,2,TD,desestacionalizada,2.69
2024,3,TD,desestacionalizada,2.74
2024,4,TD,desestacionalizada,2.65
2025,1,TD,desestacionalizada,2.62
2025,2,TD,desestacionalizada,2.67
2025,3,TD,desestacionalizada,2.63
2025,4,TD,desestacionalizada,2.64
2026,1,TD,desestacionalizada,2.71
2026,2,TD,desestacionalizada,2.67
2005,1,TD,tendencia_ciclo,3.78
2005,2,TD,tendencia_ciclo,3.68
2005,3,TD,tendencia_ciclo,3.5
2005,4,TD,tendencia_ciclo,3.32
2006,1,TD,tendencia_ciclo,3.34
2006,2,TD,tendencia_ciclo,3.52
2006,3,TD,tendencia_ciclo,3.69
2006,4,TD,tendencia_ciclo,3.79
2007,1,TD,tendencia_ciclo,3.73
2007,2,TD,tendencia_ciclo,3.62
2007,3,TD,tendencia_ciclo,3.58
2007,4,TD,tendencia_ciclo,3.64
2008,1,TD,tendencia_ciclo,3.69
2008,2,TD,tendencia_ciclo,3.7
2008,3,TD,tendencia_ciclo,3.88
2008,4,TD,tendencia_ciclo,4.35
2009,1,TD,tendencia_ciclo,4.9
2009,2,TD,tendencia_ciclo,5.39
2009,3,TD,tendencia_ciclo,5.6
2009,4,TD,tendencia_ciclo,5.48
2010,1,TD,tendencia_ciclo,5.32
2010,2,TD,tendencia_ciclo,5.28
2010,3,TD,tendencia_ciclo,5.29
2010,4,TD,tendencia_ciclo,5.29
2011,1,TD,tendencia_ciclo,5.31
2011,2,TD,tendencia_ciclo,5.3
2011,3,TD,tendencia_ciclo,5.21
2011,4,TD,tendencia_ciclo,5.07
2012,1,TD,tendencia_ciclo,4.96
2012,2,TD,tendencia_ciclo,4.86
2012,3,TD,tendencia_ciclo,4.87
2012,4,TD,tendencia_ciclo,4.98
2013,1,TD,tendencia_ciclo,5.05
2013,2,TD,tendencia_ciclo,5.01
2013,3,TD,tendencia_ciclo,4.92
2013,4,TD,tendencia_ciclo,4.86
2014,1,TD,tendencia_ciclo,4.9
2014,2,TD,tendencia_ciclo,4.93
2014,3,TD,tendencia_ciclo,4.8
2014,4,TD,tendencia_ciclo,4.57
2015,1,TD,tendencia_ciclo,4.38
2015,2,TD,tendencia_ciclo,4.33
2015,3,TD,tendencia_ciclo,4.33
2015,4,TD,tendencia_ciclo,4.3
2016,1,TD,tendencia_ciclo,4.15
2016,2,TD,tendencia_ciclo,3.95
2016,3,TD,tendencia_ciclo,3.78
2016,4,TD,tendencia_ciclo,3.64
2017,1,TD,tendencia_ciclo,3.51
2017,2,TD,tendencia_ciclo,3.43
2017,3,TD,tendencia_ciclo,3.38
2017,4,TD,tendencia_ciclo,3.34
2018,1,TD,tendencia_ciclo,3.32
2018,2,TD,tendencia_ciclo,3.29
2018,3,TD,tendencia_ciclo,3.29
2018,4,TD,tendencia_ciclo,3.35
2019,1,TD,tendencia_ciclo,3.46
2019,2,TD,tendencia_ciclo,3.52
2019,3,TD,tendencia_ciclo,3.52
2019,4,TD,tendencia_ciclo,3.5
2020,1,TD,tendencia_ciclo,3.5
2020,3,TD,tendencia_ciclo,4.81
2020,4,TD,tendencia_ciclo,4.69
2021,1,TD,tendencia_ciclo,4.49
2021,2,TD,tendencia_ciclo,4.24
2021,3,TD,tendencia_ciclo,3.97
2021,4,TD,tendencia_ciclo,3.76
2022,1,TD,tendencia_ciclo,3.55
2022,2,TD,tendencia_ciclo,3.34
2022,3,TD,tendencia_ciclo,3.17
2022,4,TD,tendencia_ciclo,3.04
2023,1,TD,tendencia_ciclo,2.91
2023,2,TD,tendencia_ciclo,2.82
2023,3,TD,tendencia_ciclo,2.77
2023,4,TD,tendencia_ciclo,2.73
2024,1,TD,tendencia_ciclo,2.7
2024,2,TD,tendencia_ciclo,2.71
2024,3,TD,tendencia_ciclo,2.71
2024,4,TD,tendencia_ciclo,2.66
2025,1,TD,tendencia_ciclo,2.63
2025,2,TD,tendencia_ciclo,2.65
2025,3,TD,tendencia_ciclo,2.64
2025,4,TD,tendencia_ciclo,2.65
2026,1,TD,tendencia_ciclo,2.69
2026,2,TD,tendencia_ciclo,2.68
2005,1,TIL1,desestacionalizada,59.59
2005,2,TIL1,desestacionalizada,59.26
2005,3,TIL1,desestacionalizada,60.01
2005,4,TIL1,desestacionalizada,59.56
2006,1,TIL1,desestacionalizada,59.01
2006,2,TIL1,desestacionalizada,58.93
2006,3,TIL1,desestacionalizada,58.24
2006,4,TIL1,desestacionalizada,57.7
2007,1,TIL1,desestacionalizada,57.89
2007,2,TIL1,desestacionalizada,57.74
2007,3,TIL1,desestacionalizada,57.78
2007,4,TIL1,desestacionalizada,58.2
2008,1,TIL1,desestacionalizada,57.96
2008,2,TIL1,desestacionalizada,58.1
2008,3,TIL1,desestacionalizada,58.09
2008,4,TIL1,desestacionalizada,58.33
2009,1,TIL1,desestacionalizada,58.86
2009,2,TIL1,desestacionalizada,59.25
2009,3,TIL1,desestacionalizada,59.73
2009,4,TIL1,desestacionalizada,59.81
2010,1,TIL1,desestacionalizada,59.74
2010,2,TIL1,desestacionalizada,59.66
2010,3,TIL1,desestacionalizada,59.12
2010,4,TIL1,desestacionalizada,59.01
2011,1,TIL1,desestacionalizada,59.3
2011,2,TIL1,desestacionalizada,59.03
2011,3,TIL1,desestacionalizada,59.41
2011,4,TIL1,desestacionalizada,59.41
2012,1,TIL1,desestacionalizada,59.54
2012,2,TIL1,desestacionalizada,59.53
2012,3,TIL1,desestacionalizada,59.57
2012,4,TIL1,desestacionalizada,59.36
2013,1,TIL1,desestacionalizada,58.81
2013,2,TIL1,desestacionalizada,58.84
2013,3,TIL1,desestacionalizada,58.7
2013,4,TIL1,desestacionalizada,58.32
2014,1,TIL1,desestacionalizada,58.05
2014,2,TIL1,desestacionalizada,57.54
2014,3,TIL1,desestacionalizada,57.63
2014,4,TIL1,desestacionalizada,57.62
2015,1,TIL1,desestacionalizada,57.62
2015,2,TIL1,desestacionalizada,57.81
2015,3,TIL1,desestacionalizada,57.54
2015,4,TIL1,desestacionalizada,57.91
2016,1,TIL1,desestacionalizada,57.3
2016,2,TIL1,desestacionalizada,57.16
2016,3,TIL1,desestacionalizada,57.1
2016,4,TIL1,desestacionalizada,57.02
2017,1,TIL1,desestacionalizada,57.08
2017,2,TIL1,desestacionalizada,56.52
2017,3,TIL1,desestacionalizada,56.92
2017,4,TIL1,desestacionalizada,56.83
2018,1,TIL1,desestacionalizada,56.56
2018,2,TIL1,desestacionalizada,56.63
2018,3,TIL1,desestacionalizada,56.45
2018,4,TIL1,desestacionalizada,56.47
2019,1,TIL1,desestacionalizada,56.72
2019,2,TIL1,desestacionalizada,56.29
2019,3,TIL1,desestacionalizada,56.26
2019,4,TIL1,desestacionalizada,56.11
2020,1,TIL1,desestacionalizada,55.88
2020,3,TIL1,desestacionalizada,54.08
2020,4,TIL1,desestacionalizada,55.47
2021,1,TIL1,desestacionalizada,55.15
2021,2,TIL1,desestacionalizada,56.15
2021,3,TIL1,desestacionalizada,56.16
2021,4,TIL1,desestacionalizada,55.88
2022,1,TIL1,desestacionalizada,55.38
2022,2,TIL1,desestacionalizada,55.71
2022,3,TIL1,desestacionalizada,55.42
2022,4,TIL1,desestacionalizada,55.15
2023,1,TIL1,desestacionalizada,55.26
2023,2,TIL1,desestacionalizada,55.13
2023,3,TIL1,desestacionalizada,54.92
2023,4,TIL1,desestacionalizada,54.81
2024,1,TIL1,desestacionalizada,54.57
2024,2,TIL1,desestacionalizada,54.23
2024,3,TIL1,desestacionalizada,54.4
2024,4,TIL1,desestacionalizada,54.48
2025,1,TIL1,desestacionalizada,54.54
2025,2,TIL1,desestacionalizada,54.81
2025,3,TIL1,desestacionalizada,55.16
2025,4,TIL1,desestacionalizada,55.02
2026,1,TIL1,desestacionalizada,55.02
2026,2,TIL1,desestacionalizada,55.11
2005,1,TIL1,tendencia_ciclo,59.5
2005,2,TIL1,tendencia_ciclo,59.57
2005,3,TIL1,tendencia_ciclo,59.68
2005,4,TIL1,tendencia_ciclo,59.51
2006,1,TIL1,tendencia_ciclo,59.15
2006,2,TIL1,tendencia_ciclo,58.8
2006,3,TIL1,tendencia_ciclo,58.26
2006,4,TIL1,tendencia_ciclo,57.82
2007,1,TIL1,tendencia_ciclo,57.77
2007,2,TIL1,tendencia_ciclo,57.77
2007,3,TIL1,tendencia_ciclo,57.87
2007,4,TIL1,tendencia_ciclo,58.05
2008,1,TIL1,tendencia_ciclo,58.08
2008,2,TIL1,tendencia_ciclo,58.03
2008,3,TIL1,tendencia_ciclo,58.12
2008,4,TIL1,tendencia_ciclo,58.37
2009,1,TIL1,tendencia_ciclo,58.81
2009,2,TIL1,tendencia_ciclo,59.3
2009,3,TIL1,tendencia_ciclo,59.68
2009,4,TIL1,tendencia_ciclo,59.82
2010,1,TIL1,tendencia_ciclo,59.78
2010,2,TIL1,tendencia_ciclo,59.56
2010,3,TIL1,tendencia_ciclo,59.2
2010,4,TIL1,tendencia_ciclo,59.03
2011,1,TIL1,tendencia_ciclo,59.1
2011,2,TIL1,tendencia_ciclo,59.22
2011,3,TIL1,tendencia_ciclo,59.34
2011,4,TIL1,tendencia_ciclo,59.46
2012,1,TIL1,tendencia_ciclo,59.5
2012,2,TIL1,tendencia_ciclo,59.57
2012,3,TIL1,tendencia_ciclo,59.56
2012,4,TIL1,tendencia_ciclo,59.29
2013,1,TIL1,tendencia_ciclo,58.93
2013,2,TIL1,tendencia_ciclo,58.79
2013,3,TIL1,tendencia_ciclo,58.67
2013,4,TIL1,tendencia_ciclo,58.37
2014,1,TIL1,tendencia_ciclo,57.96
2014,2,TIL1,tendencia_ciclo,57.65
2014,3,TIL1,tendencia_ciclo,57.57
2014,4,TIL1,tendencia_ciclo,57.62
2015,1,TIL1,tendencia_ciclo,57.68
2015,2,TIL1,tendencia_ciclo,57.7
2015,3,TIL1,tendencia_ciclo,57.66
2015,4,TIL1,tendencia_ciclo,57.54
2016,1,TIL1,tendencia_ciclo,57.36
2016,2,TIL1,tendencia_ciclo,57.16
2016,3,TIL1,tendencia_ciclo,57.08
2016,4,TIL1,tendencia_ciclo,57.07
2017,1,TIL1,tendencia_ciclo,56.98
2017,2,TIL1,tendencia_ciclo,56.89
2017,3,TIL1,tendencia_ciclo,56.87
2017,4,TIL1,tendencia_ciclo,56.8
2018,1,TIL1,tendencia_ciclo,56.64
2018,2,TIL1,tendencia_ciclo,56.56
2018,3,TIL1,tendencia_ciclo,56.48
2018,4,TIL1,tendencia_ciclo,56.54
2019,1,TIL1,tendencia_ciclo,56.58
2019,2,TIL1,tendencia_ciclo,56.41
2019,3,TIL1,tendencia_ciclo,56.22
2019,4,TIL1,tendencia_ciclo,56.15
2020,1,TIL1,tendencia_ciclo,55.77
2020,3,TIL1,tendencia_ciclo,54.69
2020,4,TIL1,tendencia_ciclo,54.89
2021,1,TIL1,tendencia_ciclo,55.51
2021,2,TIL1,tendencia_ciclo,56.06
2021,3,TIL1,tendencia_ciclo,56.18
2021,4,TIL1,tendencia_ciclo,55.81
2022,1,TIL1,tendencia_ciclo,55.57
2022,2,TIL1,tendencia_ciclo,55.56
2022,3,TIL1,tendencia_ciclo,55.44
2022,4,TIL1,tendencia_ciclo,55.22
2023,1,TIL1,tendencia_ciclo,55.2
2023,2,TIL1,tendencia_ciclo,55.13
2023,3,TIL1,tendencia_ciclo,54.95
2023,4,TIL1,tendencia_ciclo,54.79
2024,1,TIL1,tendencia_ciclo,54.52
2024,2,TIL1,tendencia_ciclo,54.32
2024,3,TIL1,tendencia_ciclo,54.35
2024,4,TIL1,tendencia_ciclo,54.47
2025,1,TIL1,tendencia_ciclo,54.57
2025,2,TIL1,tendencia_ciclo,54.85
2025,3,TIL1,tendencia_ciclo,55.07
2025,4,TIL1,tendencia_ciclo,55.07
2026,1,TIL1,tendencia_ciclo,55.05
2026,2,TIL1,tendencia_ciclo,55.04
2005,1,TOSI1,desestacionalizada,27.89
2005,2,TOSI1,desestacionalizada,27.96
2005,3,TOSI1,desestacionalizada,28.09
2005,4,TOSI1,desestacionalizada,28.28
2006,1,TOSI1,desestacionalizada,27.56
2006,2,TOSI1,desestacionalizada,27.13
2006,3,TOSI1,desestacionalizada,26.93
2006,4,TOSI1,desestacionalizada,26.73
2007,1,TOSI1,desestacionalizada,26.9
2007,2,TOSI1,desestacionalizada,27.05
2007,3,TOSI1,desestacionalizada,27.12
2007,4,TOSI1,desestacionalizada,27.35
2008,1,TOSI1,desestacionalizada,27.48
2008,2,TOSI1,desestacionalizada,27.4
2008,3,TOSI1,desestacionalizada,27.37
2008,4,TOSI1,desestacionalizada,27.04
2009,1,TOSI1,desestacionalizada,28.05
2009,2,TOSI1,desestacionalizada,28.05
2009,3,TOSI1,desestacionalizada,28.4
2009,4,TOSI1,desestacionalizada,28.39
2010,1,TOSI1,desestacionalizada,28.41
2010,2,TOSI1,desestacionalizada,28.52
2010,3,TOSI1,desestacionalizada,27.97
2010,4,TOSI1,desestacionalizada,26.91
2011,1,TOSI1,desestacionalizada,28.23
2011,2,TOSI1,desestacionalizada,28.5
2011,3,TOSI1,desestacionalizada,28.59
2011,4,TOSI1,desestacionalizada,28.86
2012,1,TOSI1,desestacionalizada,28.78
2012,2,TOSI1,desestacionalizada,28.95
2012,3,TOSI1,desestacionalizada,29.21
2012,4,TOSI1,desestacionalizada,27.77
2013,1,TOSI1,desestacionalizada,28.63
2013,2,TOSI1,desestacionalizada,28.52
2013,3,TOSI1,desestacionalizada,28.16
2013,4,TOSI1,desestacionalizada,27.81
2014,1,TOSI1,desestacionalizada,27.83
2014,2,TOSI1,desestacionalizada,27.26
2014,3,TOSI1,desestacionalizada,27.18
